text,aspect,label
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",dish,negative
"The food arrived 20 minutes after I called, cold and soggy.",food,negative
"The main course had an average portion, and was decent overall.",portion,neutral
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",place,positive
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,drink,neutral
Be careful of portions - they're HUGE.,portions,positive
I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,Chicken Teriyaki dish,negative
"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",Price,positive
"NO more reservations, expensive tips and annoying stuff.",reservations,positive
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral
Plain and simple it's bad thai food.,thai food,negative
And the fried clams had just enough kick to them to make 'em worth eating.,fried clams,positive
Go to Volare for 1st class service and terrific food.,service,positive
I am happy i did the food was awsome.,food,positive
The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,noise level,negative
Service was also horrible and the ambience is not that great.,ambience,negative
"Besides, when you have bad service, that's less money you have to tip.",service,negative
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich,positive
I have been to spice three times- twice during lunch and once at dinner.,lunch,neutral
Really cool stauff inside.,stauff,positive
This place has many different styles of pizza and they are all amazing.,styles of pizza,positive
"Service is great, takeout is good too.",takeout,positive
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",fish and chips,positive
go here for the drinks!,drinks,positive
This was the worst dining experience I've ever had.,dining experience,negative
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",door,positive
My husband and I have been there a couple of times and each time we sat at the sushi bar (chef Yoshi) and ordered everything ala carte.,ala carte,neutral
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",service,positive
I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,bar,neutral
"Overall, the best bagel in town.",bagel,positive
i recommend the thai popcorn :),thai popcorn,positive
"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.",corned beef sandwich,positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",donut like deep fried dough they call Ow Ley Soh,positive
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",fish,neutral
"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.",food,positive
From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,buttery and tender langostine entree,positive
The sake menu should not be overlooked!,sake menu,positive
Reasonable prices.,prices,positive
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",host,neutral
"Good spreads, great beverage selections and bagels really tasty.",beverage selections,positive
"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.",slice,positive
Cozy romantic atomosphere with only around 15 tables at most.,atomosphere,positive
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive
Big Wong gets big Ups for a fine establishment.,establishment,positive
(Always ask the bartender for the SEASONAL beer!!!,SEASONAL beer,positive
We were very surprised by how good the food was on our first visit here on a Sunday night.,food,positive
There is also very limited seating and there can be a substantial wait in getting food at peak times.,wait,negative
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,negative
I recieved prompt service with a smile.,service,positive
"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel.",dessert menu,neutral
"Great food, good size menu, great service and an unpretensious setting.",service,positive
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken,negative
The service is fantastic.,service,positive
Food is great.,Food,positive
Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.,drink,neutral
I ordered the smoked salmon and roe appetizer and it was off flavor.,smoked salmon and roe appetizer,negative
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,negative
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative
"Great food, great prices, great service.",food,positive
The service is fine and they allow you to enjoy the view.,service,positive
Horrible food and Horrible service.,service,negative
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.",service,neutral
My fiance took me to Scopa last week for my birthday and I couldn't believe the food.,food,positive
"Always a nice crowd, but never loud.",crowd,positive
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,negative
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",wine,neutral
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive
Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,bagel,neutral
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",fish fillet in spicy source,positive
"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",dish,neutral
I went to DF for Valentines Day dinner.,Valentines Day dinner,neutral
"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",place,positive
Usually 3 vs. 4 items per dish.,dish,neutral
"Great wine list, reasonably priced.--Sara",priced,positive
"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.",spinach,positive
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",dim sum,neutral
The hot dogs were cold in the middle and the buns were stale.,hot dogs,negative
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",appetizers,neutral
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",food,positive
Once they ran out of Gnochi and made it for me from scratch!,Gnochi,neutral
"Great food, great lay out and awesome service.",lay out,positive
The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,negative
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Boton Shrimp,neutral
"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",food,neutral
Decent wine at reasonable prices.,prices,positive
The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,bottle of wine,neutral
Salads were fantastic.,Salads,positive
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,root vegetables,positive
The food was lousy - too sweet or too salty and the portions tiny.,portions,negative
"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",dress codes,positive
"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",portions,positive
And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,service,negative
"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",delivery,negative
A Thai restaurant out of rice during dinner?,rice,neutral
The food there is so good that even to order out the wait is incredible.,food,positive
They came out over cooked and the cheese was almost non existant.,cheese,negative
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacon,negative
The dim sum is delectable while the prices are quite easy on the wallet.,prices,positive
Okay service.,service,neutral
Three of us arrived for dinner about 5:30 on a week night without reservations.,reservations,neutral
Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,lox spread,positive
The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,wine,positive
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,lamb chettinad,positive
"During the course of the past 3 months, the chef and staff changed and it was not for the better.",staff,negative
The Yellowtail was particularly good as well.,Yellowtail,positive
Won't or Can't is not in the service directory.,service,positive
The location and ambience is Ok but the food is what makes up for it.,location,neutral
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",waiter,positive
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",meal,negative
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",Lobster Cobb Salad,neutral
Try their plain pizza with fresh garlic or eggplant.,plain pizza,positive
"The view is spectacular, and the food is great.",view,positive
The lamb meat was under-cooked and EXTRMELY CHEWY.,lamb meat,negative
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,scene,negative
"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",pot of boiling water,neutral
I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,upstairs,positive
The food at this place is 'gourmet' Indian cuisine.,'gourmet' Indian cuisine,neutral
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,positive
The desserts are more appealing then stuffy overpriced French restaurants.,desserts,positive
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",meat,negative
Taxan delicious!,Taxan,positive
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Sea Urchin,neutral
"Interesting selection, good wines, service fine, fun decor.",service,positive
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive
"You rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it.","currys (masaman, green, red)",positive
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,negative
"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.",fish tanks,positive
There are other people waiting!,waiting,negative
"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",ambiance,positive
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",rice,negative
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",menu,neutral
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",toppings,neutral
The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,butter,positive
The soup for the udon was soy sauce and water.,soy sauce,neutral
The food is great and they have a good selecion of wines at reasonable prices.,selecion of wines,positive
"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",food,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive
The food was absolutely horrible!,food,negative
Delicious food at a great price but do not go here on a cold day and sit by the front door.,price,positive
"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",service,negative
"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",music,positive
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",side,neutral
They treated us well and the food was extremely fresh and well-prepared.,food,positive
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive
Their whitefish salad is excellent--all whitefish with a little mayo.,whitefish,positive
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,positive
The service is not consistently excellent -- just decent.,service,neutral
Turned out there was full service upstairs and sat down.,service,positive
"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",bread,negative
Great food at reasonable prices.,food,positive
I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",bar,positive
"$160 for 2 filets, 2 sides, an appetizer and drinks.",filets,neutral
The entertainment was great they have shows that go on through out the dinner.,shows,positive
"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",drink,neutral
we split a tasty vegetable samosa and the malai tikka wrap.,malai tikka wrap,positive
"While the prices are nothing special, the portions are huge.",portions,positive
There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!,glass of wine,neutral
Did I mention the wine?,wine,neutral
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,squid,negative
"The food is wonderful, tasty and filling, and the service is professional and friendly.",food,positive
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",brunch,neutral
Never in my life did I think that I could be satisfied both in taste and in quantity for $3.00 in NYC.,taste,positive
"Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",dining experiences,positive
Best drumsticks over rice and sour spicy soup in town!,sour spicy soup,positive
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral
I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,music,negative
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",food,neutral
The food is tasty and portion sizes are appropriate.,food,positive
"It's also attached to Angel's Share, which is a cool, more romantic bar...",bar,positive
"Great bagels, spreads and a good place to hang out in.",spreads,positive
"Over price, and small portions .",price,negative
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",Argentinian Pizza,neutral
The server was really cool and served us our food and drinks with a smile.,served,positive
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",Pastrami sandwich,positive
Fish is so very fresh.,Fish,positive
Our family never expected such incredible entertainment in a restaurant.,entertainment,positive
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",service,positive
"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,positive
I have never had cheescake like this.,cheescake,positive
"Service is great, takeout is good too.",Service,positive
The portions are large and the servers always surprise us with a different starter.,portions,positive
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food,negative
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive
We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,cheese fondue,neutral
Patroon features a nice cigar bar and has great staff.,staff,positive
The buffet had a nice selection.,selection,positive
"A large is $20, and toppings are about $3 each.",toppings,neutral
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,neutral
I particularly love their yellowfun tuna and their mussel selection.,yellowfun tuna,positive
Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,glasses of wine,positive
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,panchetta,positive
"The steak is good, the fish is good and the sushi was surprisingly great.",fish,positive
"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",food,negative
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",diner,negative
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,neutral
"Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.",order,negative
The waitress was very patient with us and the food is phenomenal!,food,positive
I had the duck breast special on my last visit and it was incredible.,duck breast special,positive
And I say snacking because it really is not set up to be a proper dinner.,dinner,negative
I LOVED THE SHOWS.,SHOWS,positive
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative
"Besides, when you have bad service, that's less money you have to tip.",tip,negative
"not only does make the best pizza in NY , maybe anywhere.",pizza,positive
I had a huge pastrami sandwich on a roll.,pastrami sandwich,positive
The food options rule.,food options,positive
"We had reservations at 9pm, but was not seated until 10:15pm.",reservations,negative
"The food was not fresh, the sauces were bland and very oily.",sauces,negative
"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",pad thai,neutral
The design and atmosphere is just as good.,atmosphere,positive
We ran a little late for the reservation but it wasn't a problem to get our table immediately.,reservation,neutral
good selection of wines ranging from affordable to high end.,selection of wines,positive
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,negative
"Aside from the rushed service, we were very impressed with the food and the drinks.",drinks,positive
"Service was prompt, friendly and great.",Service,positive
"It's really also the service, is good and the waiters are friendly.",service,positive
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,mushroom consomme,positive
"Our son loves pizza and we have a certified Neapolitan pizzaria in our home city (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.",pizza,positive
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,neutral
Interesting other dishes for a change include chicken in curry sauce and salmon caserole.,chicken in curry sauc,positive
Stick to the gulab jamun.,gulab jamun,positive
Patroon features a nice cigar bar and has great staff.,cigar bar,positive
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Sushi fix,positive
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",oil,neutral
"I wasn't there for the Half-Price Saturday Night Special, but Tuesday Night.",Half-Price Saturday Night Special,neutral
"The food is very good for it's price, better than most fried dumplings I've had.",food,positive
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,positive
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",lox,positive
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,food,neutral
Nothing better than buying a snapple for $3.25 too.,snapple,positive
"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",Fluke sashimi,positive
We had the most wonderful waitress.,waitress,positive
The service is good and ambience is good for a date or group outing.,service,positive
Try their plain pizza with fresh garlic or eggplant.,eggplant,positive
The soup for the udon was soy sauce and water.,water,neutral
Pair you food with the excellent beers on tap or their well priced wine list.,food,neutral
Good luck getting a table.,getting a table,negative
A Thai restaurant out of rice during dinner?,dinner,neutral
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",decor,positive
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",wine,neutral
"Also, top the meal with a delicious and perfect slice of tiramisu.",meal,neutral
The food was absolutely amazing!!,food,positive
"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",place,negative
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",dessert,positive
"The owner is very friendly and a great guy, go try his pizza, you'll like it!",owner,positive
Killer Sushi!,Sushi,positive
The staff is courteous and friendly.,staff,positive
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,meal,positive
we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.,seated,positive
"Great food, good size menu, great service and an unpretensious setting.",setting,positive
The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.,pepper,negative
"Great service, great food.",food,positive
They are served with a free appetizer and the portions are perfect for lunch.,portions,positive
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,negative
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,positive
LOVE the atmosphere - felt like I was in Paris.,atmosphere,positive
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas,positive
They couldn't even make a salad that was appealing.,salad,negative
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",seafood,negative
"Because of the delicate thin crust, take-out pies get soggy in their boxes.",crust,negative
"The food was terrific and the service classy, attentive, without being overbearing.",food,positive
"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",table,negative
I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,crab cocktail,negative
We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.,staff,positive
By far the best salad I have had in a fast food restaurant.,salad,positive
"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",edamames,neutral
"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,negative
Not enough wines by the glass either.,wines by the glass,negative
"Not only was the food outstanding, but the little 'perks' were great.",perks,positive
"The food was really good, I had the onion soup and it was one of the best ever.",onion soup,positive
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",eats,positive
"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",pre-theatre or after-theatre drinks,positive
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,spinach mushroom calzone,negative
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,noodle soup dishes,negative
For those prices and the dressed up atmosphere you expect more and should get more.,prices,negative
And I say snacking because it really is not set up to be a proper dinner.,snacking,neutral
"The food is wonderful, tasty and filling, and the service is professional and friendly.",service,positive
Both times we waited well over a half hour for a table (even though we had reservations).,reservations,negative
"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",wine,positive
Great bagels made the old-fashioned way.,bagels,positive
Try the Times Square cocktail -- ginger lemonade with vodka (also available without vodka.),Times Square cocktail,positive
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive
I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,meatballs,positive
We both opted for a pasta dish and they were served timely and fresh.,served,positive
"My husband and I both ordered the Steak, medium.",Steak,neutral
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive
Diner food at bistro prices is a bummer....,prices,negative
bottles of wine are cheap and good.,bottles of wine,positive
"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",wait staff,positive
Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,FOOD,neutral
"We love the food, drinks, and atmosphere!",atmosphere,positive
First went here to enjoy their garden terrace.,garden terrace,positive
"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.",dinner reservations,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive
The servers give you some sample slices of your order while you wait (shortly I might add).,servers,positive
"This is such a lovely, peaceful place to eat outside.",place,positive
"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",chicken,positive
Try the spicy wontons and the salt pepper shrimps.,salt pepper shrimps,positive
The food itself was just ok - nothing spectacular - but the service was awful.,service,negative
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",sushi,negative
"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",dim sum,neutral
The location is perfect.,location,positive
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative
"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",lunch special,negative
"Service was slow, but the people were friendly.",Service,negative
"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.",atmoshere,positive
The wine list is also really nice.,wine list,positive
The prices are exceptionally reasonable for food of this caliber.,prices,positive
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,place,negative
We had a party in their private room and they made it truly memorable and were very helpful in the planning.,private room,neutral
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",lunch buffet,neutral
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",lamb,positive
"Even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.",seated,positive
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive
The food was average or above including some surprising tasty dishes.,food,positive
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",bagel,neutral
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,positive
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",tables,positive
From the moment we walked in they were more than accomodating even though the place was packed.,place,negative
"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",dish,negative
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,positive
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",busboy,negative
The staff offers impeccable service.,service,positive
i would recommend reservations on weekends though.,reservations,neutral
Have the iced tea.,iced tea,positive
The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,quality of food,positive
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,positive
They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,menu,neutral
Delicious food at a great price but do not go here on a cold day and sit by the front door.,front door,neutral
"The staff has always been attentive and kind, and I've always been amazed at how they've handled all the various different group sizes that come in.",staff,positive
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",steak frites,positive
"Try the Pad Thai, it's fabulous and their prices are so cheap!",Pad Thai,positive
"Its not curry in a slurry crap, and regular run of the mill food.",food,neutral
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,setting,positive
Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,cheese,neutral
"The menu consisted of standard brassiere food, better then places like Balthazar etc.",brassiere food,positive
This is the perfect date spot for Williamsburg couples.,date spot,positive
"Only wine and beer are served, but the house varities are actually quite good.",beer,neutral
"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",wait staff,positive
The service was excellent and the food was delicious.,service,positive
"We have been to this place many times, and always have great food, wine, and service.",service,positive
"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,neutral
"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",seat,negative
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive
"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,negative
"More important, the sushi rivals the best in Tokyo.",sushi,positive
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",manager,negative
"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",little dishes,negative
