"@id","text","aspectTerms__aspectTerm__@from","aspectTerms__aspectTerm__@polarity","aspectTerms__aspectTerm__@term","aspectTerms__aspectTerm__@to","aspectCategories__aspectCategory__@category","aspectCategories__aspectCategory__@polarity"
"","","96","positive","porce","101","service","positive"
"","","72","positive","ceny","76","price","positive"
"","","104","positive","kuchař","110","anecdotes/miscellaneous","positive"
"1328","Dnes jsem poprve zasla do Dynama","","","","","",""
"1325","Celý večer se o nás skvěle starali","","","","","service","positive"
"1327","číšník usadil nás ke stolu a začal konzert přinesl jídelní a nápojový lístek","0","neutral","číšník","6","food","positive"
"","","","","","","service","neutral"
"1326","čisté a čerstvé doporučuji všem steak z urugvajského býka nebo veg. pokrmy","32","positive","steak z urugvajského býka","57","food","positive"
"","","63","positive","veg. pokrmy","74","",""
"166","Nechápu, když věděli, že jim má přijít skupinka 13 osob s vouchery na uřčité menu, tak se podle toho zařídím","77","negative","menu","81","food","neutral"
"","","58","negative","vouchery","66","anecdotes/miscellaneous","negative"
"1321","ale já jsem naprosto spokojen vždy vše","35","positive","vše","38","anecdotes/miscellaneous","positive"
"165","Nechápu, jak je možné, když si zavolám a objednám na určitou hodinu, určité jídlo z voucheru, dostanu zcela něco jiného","76","neutral","jídlo","81","food","neutral"
"","","84","neutral","voucheru","92","service","negative"
"","","","","","","anecdotes/miscellaneous","neutral"
"1320","Absolutně nedoporučuji, v této restauraci nám bylo podáno zkažené maso","66","negative","maso","70","food","negative"
"","","31","negative","restauraci","41","anecdotes/miscellaneous","negative"
"168","Nenašla bych na ni nějakou výraznou chybu","","","","","anecdotes/miscellaneous","positive"
"1323","byla jsem v restauraci na polední menu dala jsem si kuřecí steak a byl super šťavnatý a skvěle ochucen","52","positive","kuřecí steak","64","food","positive"
"","","26","positive","polední menu","38","anecdotes/miscellaneous","neutral"
"","","12","neutral","restauraci","22","",""
"167","Nejprve nám donesli jen dva talíře, i když slečna servírka věděla, že nás je pět","50","negative","servírka","58","service","negative"
"408","Jídlo vždy chutné a kolik tam je v restauraci lidí není důležité","0","positive","Jídlo","5","food","positive"
"","","35","neutral","restauraci","45","anecdotes/miscellaneous","neutral"
"162","Navíc toto maso smrdělo jako mokrý pes","11","negative","maso","15","food","negative"
"1718","Pizza vyborna, ale jak uz bylo receno, taky se mi nezda ten rozvoz","0","positive","Pizza","5","food","positive"
"404","Doporučuji všem a ceny nejsou předražené jako jinde","18","positive","ceny","22","price","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"407","jidlo super, pivo taky super , a obsluha skvela","13","positive","pivo","17","food","positive"
"","","33","positive","obsluha","40","service","positive"
"","","0","positive","jidlo","5","",""
"160","Nakonec ovšem vše dopadlo dobře - místo lasagní nám byly nabídnuty tři steaky, což jsme přijaly","40","neutral","lasagní","47","food","neutral"
"","","71","neutral","steaky","77","",""
"1716","Objednala jsem si těstoviny Alla Carbonara z rozvozu a opravdu netuším kde ten kuchař přišel na to že by to mělo chutnat po uzeným lososu! HNUS!","79","negative","kuchař","85","food","negative"
"","","18","negative","těstoviny Alla Carbonara","42","service","negative"
"","","124","neutral","uzeným lososu","137","",""
"2216","Včera jsem byl po dlouhé době v restauraci","32","neutral","restauraci","42","anecdotes/miscellaneous","neutral"
"400","DOPORUČUJI","","","","","anecdotes/miscellaneous","positive"
"2215","V ""normální restauraci"" se dá objednávka udělat přes telefon","12","neutral","restauraci","22","anecdotes/miscellaneous","neutral"
"1710","NEJHORŠÍ PIZZA SPÍŠ CHIPSI A OBSLUHA DRZÁ NEJSEM ŽÁDNÁ SOCKA A CHOVAJÍ SE HUSTĚ I KDYZ SEM UTRATIL POMĚRNĚ DOST TAK ANI NASCHLE NIKDO NEŘEKNE SLUŠNÉ CHOVÁNÍ ŽADNÉ UŽ TAM NIKDY NIKDO RADŠI NECHODTE","20","negative","CHIPSI","26","food","negative"
"","","9","negative","PIZZA","14","service","negative"
"","","29","negative","OBSLUHA","36","",""
"1711","Nejlepší pizza v Brně a okolí! Vřele doporučuji!","9","positive","pizza","14","food","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"403","DOPORUČUJI PŘIJĎTE TAM A OPRAVDU UVIDITE DOMACI PROSTŘEDI","48","positive","PROSTŘEDI","57","ambience","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"1712","Nejlepší pizza, výborné saláty, úžasné steaky","39","positive","steaky","45","food","positive"
"","","9","positive","pizza","14","",""
"","","24","positive","saláty","30","",""
"402","DOPORUČUJI i těm závistivcum a nepřátelum","","","","","anecdotes/miscellaneous","positive"
"2212","tedy zebra nejsou pripravovana v restauraci,tam se jen prihrejou v mikrovlnce","5","negative","zebra","10","food","negative"
"","","33","neutral","restauraci","43","anecdotes/miscellaneous","neutral"
"2211","Takže opravdu naprostá spokojenost !!!!!!!","","","","","anecdotes/miscellaneous","positive"
"2213","Tohle by clovek uz tak nejak prezil, je to zkusenost, co me ale vazne nastvalo bylo to, ze pritel stravil nekolik nasledujicich dni na zachode se strevnimi a zaludecnimi potizi","","","","","food","negative"
"824","pokoušeli jsme se něco sníst (prostě jsme nemohli uvěřit, že je to tak zlé, nechtěli jsme si to připustit) maso byla totální žvejka!!","107","negative","maso","111","food","negative"
"825","Pokud hledáte kvalitu za odpovídající cenu-určitě doporučuji!","38","positive","cenu","42","price","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"10870","Jídlo skvělé cena výborná,celková spokojenost.","0","positive","Jídlo","5","food","positive"
"","","13","positive","cena","17","price","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"822","Pochutnali jsme si, ale znovu bych tam už asi nejela","","","","","food","positive"
"10871","Nedoporucuji, nuti Vas objednat neco, co vubec nechcete .......ke kazdemu jidlo je povinne couvert coz je pry nezbytna soucasti jidla, ktera stoji dalsich CZK 30.","128","neutral","jidla","133","food","neutral"
"","","74","neutral","jidlo","79","service","negative"
"","","141","negative","stoji","146","price","negative"
"","","","","","","anecdotes/miscellaneous","negative"
"823","Pokaždé si tam dáváme něco jiného a pokaždé jsi připadáme jako v rájí","","","","","food","positive"
"10872","Bilo to supr,fakt sem si pochutnal...","","","","","food","positive"
"828","Poprvé ihned po Ano šéfe - perfektní, skvělé, bez chyby","","","","","anecdotes/miscellaneous","positive"
"10873","Poměr cena/výkon špatný.","6","negative","cena","10","price","negative"
"829","Poprvé jsem tam byl ještě v době, kdy restaurace začínala a jídlo bylo super, ale dneska je podnik bohužel úplně jinde","38","positive","restaurace","48","food","positive"
"","","92","negative","podnik","98","",""
"","","60","positive","jídlo","65","",""
"10874","dost dobra pizza mexicana doporučuji servírky příjemný","11","positive","pizza mexicana","25","food","positive"
"","","37","positive","servírky","45","service","positive"
"10875","A najednou u Alberta slyším halekání - pan vedoucí za mnou běžel s mou peněženkou kde jsem měla celou výplatu a všechny doklady !!! To se hned tak nevidí. Děkuji !","43","positive","vedoucí","50","service","positive"
"10876","Byli jsme moc spokojení....děkujeme zejména slečně servírce za vlídný přístup a trpělivost s některými z nás :-)","51","positive","servírce","59","service","positive"
"10877","Rozhodně doporučujeme.","","","","","anecdotes/miscellaneous","positive"
"178","Pan majitel je podvodník","4","negative","majitel","11","service","negative"
"10878","Obsluha milá, příprava jídla rychlá a chutná.","14","positive","příprava jídla","28","food","positive"
"","","0","positive","Obsluha","7","service","positive"
"10879","Dostal jsem jakýsi karbanátek o průměru 8 cm a tloušťce 2 cm, kozí sýr jsem nenašel a z cibule 3 proužky.","62","negative","kozí sýr","70","food","negative"
"","","88","negative","cibule","94","",""
"","","19","negative","karbanátek","29","",""
"418","vsem bych rada doporucila","","","","","anecdotes/miscellaneous","positive"
"1704","Zakoupený voucher na Mix grill jsem vyhodil do popelnice,neboť týden dopředu se nedala udělat rezervace stolu-prý moc dlouhá doba,naopak dva dny předem zase byla krátká","10","negative","voucher","17","service","negative"
"","","","","","","anecdotes/miscellaneous","negative"
"170","Nikdy více!!!","","","","","anecdotes/miscellaneous","negative"
"417","Urcite tam budu chodit i nadale","","","","","anecdotes/miscellaneous","positive"
"1705","Zatím jsme tam ještě nebyli a ani nepůjdeme, stačila domluva","","","","","anecdotes/miscellaneous","negative"
"1702","V této hospůdce jsme byli ve čtyřech lidech, v pátek večer na pečených kuřecích křídlech","71","neutral","kuřecích křídlech","88","food","neutral"
"","","7","neutral","hospůdce","15","anecdotes/miscellaneous","neutral"
"1703","Včera jsme tam s kamarády popíjely","26","neutral","popíjely","34","food","neutral"
"174","Obsluha strašná","0","negative","Obsluha","7","service","negative"
"175","Obsluhu komentovat ani nebudu byla to nepohledná a až velmi oprsklá a drzá mladá slečna","0","negative","Obsluhu","7","service","negative"
"1709","Moc neosobní","","","","","anecdotes/miscellaneous","negative"
"1706","Bezkonkurenční pizza","15","positive","pizza","20","food","positive"
"173","Objednali jsme si piva, která byla 1 cm pod míru a navíc ještě teplá","18","negative","piva","22","food","negative"
"419","Výborné jídlo, skvělá obsluha","22","positive","obsluha","29","food","positive"
"","","8","positive","jídlo","13","service","positive"
"1707","Dnes objednán rozvozem Caesar salát , bez parmesánu, nahrazený hnusným eidamem","71","negative","eidamem","78","food","negative"
"","","23","negative","Caesar salát","35","",""
"","","42","neutral","parmesánu","51","",""
"819","Počítal někdo kolik váží svíčková, další vhodné druhy masa možné ke zpracování steaků?","25","neutral","svíčková","33","food","neutral"
"","","54","neutral","masa","58","",""
"414","Rodinná oslava se nám díky této volbě restaurace povedla skvěle","","","","","anecdotes/miscellaneous","positive"
"1700","Tuto restauraci URČITĚ NEDOPORUČUJI!!!!!! Já osobně už tam ani nepáchnu!","5","negative","restauraci","15","anecdotes/miscellaneous","negative"
"413","Příjďte se podívat budete Spokojeni","","","","","anecdotes/miscellaneous","positive"
"1701","Určitě se právě na toto pivo zastavíme a ochutnáme další speciality","","","","","food","positive"
"412","Proto jsem překvapen ,že si někdo stěžuje asi neví jak to chodí a klape jinde","","","","","",""
"411","Prostředí čisté a přátelská atmosféra","0","positive","Prostředí","9","ambience","positive"
"","","28","positive","atmosféra","37","",""
"10881","Jídlo výborné a výběr obrovský, steaky z kvalitního masa.","32","positive","steaky","38","food","positive"
"","","0","positive","Jídlo","5","",""
"","","52","positive","masa","56","",""
"","","16","positive","výběr","21","",""
"811","Personálu na place opravdu hodně, ale působí spíše jako podomní prodavačí, kteří by snad prodali i svou vlastní babičku","0","negative","Personálu","9","service","negative"
"10882","Mela jsem voucher pizzi brala domu,ani tam neni co tam inzeruji ze ma byt-na vegeterianske chybel hrasek a tech par (asi 5) kousku brokolice hmm,nevim nevim.","98","negative","hrasek","104","food","negative"
"","","10","negative","voucher","17","anecdotes/miscellaneous","negative"
"","","131","negative","brokolice","140","",""
"","","18","negative","pizzi","23","",""
"812","Pití podle mě nemůže být považováno za drahé (dvojku vína za 35,- už člověk málo kde v restauraci dostane)","0","neutral","Pití","4","food","neutral"
"","","46","neutral","dvojku vína","57","price","positive"
"","","","","","","anecdotes/miscellaneous","neutral"
"10880","Pouze telefonická komunikace s cisnikem odradila. Zvyšoval hlas a bavil se se mnou jako s podrizenou :-) Chování burana a spinavce.","31","negative","cisnikem","39","service","negative"
"1308","V blízkém okolí je dost lepších","","","","","anecdotes/miscellaneous","negative"
"814","Po dlouhém čekání na obsluhu následovala objednávka hovězí žebra a steak ze svíčkové","67","neutral","steak ze svíčkové","84","food","neutral"
"","","21","negative","obsluhu","28","service","negative"
"","","52","neutral","hovězí žebra","64","",""
"10885","daleko široko není nic lepšího jen doporučuji maj novej jídelní lístek vážně to stojí za to","56","positive","jídelní lístek","70","food","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"815","Po druhé to už bylo horší, potřetí ještě horší a počtvrté jsem se jen ujistil, že sem už nepřijedu","","","","","anecdotes/miscellaneous","negative"
"10886","Nechapu jak mužete psát o tom v Tescu je levnějš to je jasný přece sněste si to tam na stojáka u regalu a vemte si sebou skladací židličku inteligente.Vždy jsem se tu dobře najedl a hojně žadná malá porce.prostě pecka.doporučuji.","199","positive","porce","204","food","positive"
"","","173","positive","najedl","179","",""
"816","Po mé návštěvě nedoporučuji tuto tzv. steak restauraci","38","negative","steak restauraci","54","anecdotes/miscellaneous","negative"
"10883","Cenu nekomentuji, nepřijeli jsme sem náhodou, jeli jsme cíleně a byli den předem objednáni.","0","negative","Cenu","4","price","negative"
"817","po Pohlreichovi zvedání cen a úbytek porce - proto jsme tam více jak rok a půl nebyli;","37","negative","porce","42","food","negative"
"","","24","negative","cen","27","price","negative"
"10884","Jídlo velmi kvalitní příjemná obsluha a dnes to bylo dokonce s českou básničkou k přípitku =)","0","positive","Jídlo","5","food","positive"
"","","30","positive","obsluha","37","service","positive"
"10889","navic co se tyka okradani, chodime sem tri roky a nikdy jsme okradeny nebyly, to je ale zahada hlavolamu vy chytráci, jídlo - kuchař Míša sice neumí bruslit ale jídlo děla nejlepší navíc v rekordnim čase a kuchyní udržuje ve vetší čistitě než je ta vaše, záchody - smrad jsme nikdy necítili navíc je tam ted jeden vyměněn, pivo- chutná skvěle a nedočkáte se podmíráku","118","neutral","jídlo","123","food","positive"
"","","255","positive","záchody","262","service","positive"
"","","323","positive","pivo","327","ambience","positive"
"","","126","positive","kuchař","132","",""
"","","161","positive","jídlo","166","",""
"","","206","positive","kuchyní","213","",""
"188","pokud jste uspěli, byl bych vděčný za radu jak jste postupovali","","","","","",""
"10887","Pivo se realtivně dá, stejně jako jídlo.","0","positive","Pivo","4","food","positive"
"10888","Poprvé otrávená servírka, připečená pizza , no řekli jsem si že tedy využijeme ty další vouchery a už nás tam neuvidí.","16","negative","servírka","24","food","negative"
"","","36","negative","pizza","41","service","negative"
"","","88","negative","vouchery","96","anecdotes/miscellaneous","negative"
"1300","Špatnou, pročernalou a rozpadající se bramboru překrýval dresink","57","neutral","dresink","64","food","negative"
"","","38","negative","bramboru","46","",""
"1302","tato restaurace odpovídá spíše čtvrté cenové skupině, třeba je na polední menu fajn","5","negative","restaurace","15","food","neutral"
"","","74","neutral","menu","78","anecdotes/miscellaneous","negative"
"810","Personal je sice ochotny,ale je ho tam snad více než hostů","0","positive","Personal","8","service","positive"
"427","bez te nekam stouhle restauraci","","","","","anecdotes/miscellaneous","negative"
"426","ahoj petre mas uplnou pravdu co se tyce tehle restaurace","46","neutral","restaurace","56","anecdotes/miscellaneous","neutral"
"180","Piva pro 6 osob nesla na 3 x, po požadavku na daňový doklad (paragon, kde je uvedeno, co bylo koupeno, za kolik a kdo to prodal, si musela pozvat posilu - pána, který tvrdil, že nic takového nemá, a že budu muset hodinu počkat, až ho doveze (???)","0","neutral","Piva","4","food","neutral"
"","","","","","","service","negative"
"181","Plno na papíře,ale na talíři trošku jinak","","","","","food","negative"
"","","","","","","price","negative"
"182","Po dlouhých peripetiích a scénách kolem ostatních hostů, se kterými skutečně bylo zacházeno tak, jak je níže popsáno, bylo jídlo přineseno","123","neutral","jídlo","128","food","neutral"
"186","Podle nabidky kuponu velke porce, ve skutecnosti byla kolena proti jinym restauracim mala, nedopecena","54","negative","kolena","60","food","negative"
"","","27","negative","porce","32","anecdotes/miscellaneous","negative"
"","","14","negative","kuponu","20","",""
"809","Pan Ruda si asi myslí, že celý byznys si udělají ze 3 hvězdiček od Pohlreicha","","","","","",""
"421","Za prijatelne ceny, dobre jidlo","14","positive","ceny","18","food","positive"
"","","26","positive","jidlo","31","price","positive"
"420","Vždy bez problémů a s plnou spokojeností","","","","","anecdotes/miscellaneous","positive"
"424","A PROSIMVAS NEDELEJTE STECH UBOHYCH LIDI SASKY JSTE TRAPNI VZDYT VY MOC DOBRE VITE JAK TO VE VASI RESTAURACI CHODI ZE VAS TO JESTE BAVI .....................","98","neutral","RESTAURACI","108","anecdotes/miscellaneous","neutral"
"10859","Pivo je dobré a vypili bychom ho víc, jen obsluha nějak zapomíná nosit.","42","negative","obsluha","49","food","positive"
"","","0","neutral","Pivo","4","service","negative"
"116","Je nám to líto, říkala obsluha ale musíte zaplatit znova, nám jste ještě nezaplatil","23","negative","obsluha","30","service","negative"
"843","Proto radím lidem aby se radši Vojeticím vyhli velkým obloukem, opravdu to za to nestojí","","","","","anecdotes/miscellaneous","negative"
"10858","Požádal jsem o pivo, plzničku samozřejmě.","15","neutral","pivo","19","food","neutral"
"842","Proto nechápu negativní ohlasy, buď měli autoři vysloveně smůlu na nepovedenou porci, nebo jim nechutnalo s ohledem na vysoké ceny, či se jedná o příspěvky konkurence","79","negative","porci","84","food","negative"
"","","126","negative","ceny","130","price","negative"
"117","Je to škoda, restaurace je na atraktivním místě a je mi líto příjemné obsluhy, která nejednou musí řešit nepříjemné problémy se zákazníky","70","positive","obsluhy","77","service","positive"
"","","13","positive","restaurace","23","ambience","positive"
"840","Prostředí krásné prosklená terasa s venkovním posezením, jen vnitřní prostory jsou velice tmavé, málo osvětlené což na nás působilo vcelku depresivně","69","negative","prostory","77","ambience","positive"
"","","0","positive","Prostředí","9","",""
"115","Jaké bylo překvapení, když místo kolena, donesla nějaké pečené vepřové maso, místy přesolené a navíc studené","33","negative","kolena","39","food","negative"
"","","63","negative","vepřové maso","75","",""
"10855","Vřele doporučuji vždy si velmi pochutnám, příjemná a rychlá obsluha!","60","positive","obsluha","67","food","positive"
"","","","","","","service","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"10854","Naše vysoké očekávání bylo nadmíru splněno,svěží mátový čaj, excelentní cheeseburger, hovězí líčka která se rozpadali již při prvním pohledu a o domácí paštice nemluvě!","49","positive","mátový čaj","59","food","positive"
"","","86","positive","hovězí líčka","98","",""
"","","145","positive","domácí paštice","159","",""
"","","72","positive","cheeseburger","84","",""
"10857","Objednávám pizzu s mořskými plody, ale protože se mi k ní nehodí mozzarela, chci bez ní a raději trochu více mořských plodů. To prý nejde, musel bych si připlatit.","109","neutral","mořských plodů","123","food","neutral"
"","","65","neutral","mozzarela","74","service","negative"
"","","11","neutral","pizzu s mořskými plody","33","price","negative"
"110","Horší jídlo jsem v životě ani neviděla","6","negative","jídlo","11","food","negative"
"10856","Takže zkráceně..pivo - OK, Jidlo - ujde, prostředí - fajn, záchody - katastrofa, obsluha - pomala a otrávena, ceny - přemrštěné.","27","positive","Jidlo","32","service","negative"
"","","81","negative","obsluha","88","price","negative"
"","","16","positive","pivo","20","",""
"","","110","negative","ceny","114","",""
"","","59","negative","záchody","66","",""
"","","41","positive","prostředí","50","",""
"111","Chtěl bych se zeptat zda už někomu byly vráceny peníze, protože mě se z doporučeného e-mailu restaurace nikdo neozval a na účet nic také nepřišlo","48","neutral","peníze","54","price","neutral"
"10851","Zapráskanej homosexuální pajzl.","","","","","anecdotes/miscellaneous","negative"
"10850","Byl jsem hned po vstupu do restaurace mile uvítán příjemnou servírkou která nás usadila ke stolu.","27","positive","restaurace","37","service","positive"
"","","60","positive","servírkou","69","anecdotes/miscellaneous","positive"
"10853","Měli jsme ""akčního"" Březňáka 12°za 18 kaček a bylo to opravdu PIVO!!!!!!!!!!","62","positive","PIVO","66","food","positive"
"","","","","","","price","positive"
"10852","NIKDY VÍCE, naše několikátá (jsme nepoučitelní, ale dávali jsme jim pořád šanci) ale poslední návštěva ! ! ! (steaky šlachovité, zapáchaly, gramáž horko těžko 100 gramů místo 200 gramů deklarovaných, rozhodně ne BIO, jehněčí kolínko taky nic moc ) hospodu známe od jejích začátků a velmi jsme jim fandili.","110","negative","steaky","116","food","negative"
"","","248","negative","hospodu","255","anecdotes/miscellaneous","negative"
"","","217","negative","jehněčí kolínko","232","",""
"","","140","negative","gramáž","146","",""
"847","- před Pohlreichem paráda - vždy spokojenost;","","","","","anecdotes/miscellaneous","positive"
"845","První návštěvy byly naprosto dokonalé a nebylo co vytknout","","","","","anecdotes/miscellaneous","positive"
"118","Je to zatím nejhorší restaurace, kterou jsem kdy navštívila","21","negative","restaurace","31","anecdotes/miscellaneous","negative"
"844","Prvně v životě jsem šel z restaurace hladový","26","negative","restaurace","36","anecdotes/miscellaneous","negative"
"436","byly jsme tam minuly tyden a bylo tam snami jen 5 hostu opravdu malo na jidlo jsme necekaly dlouho ale tlacenka byla hnusna se uplne rospadala nedrzela a cutove strasna chut nedochucena to tlacenky maji lepsi v normalnich obchodech .","103","negative","tlacenka","111","food","negative"
"","","72","negative","jidlo","77","",""
"","","189","negative","tlacenky","197","",""
"433","byla jsem tam na svatbe meho bratra v roce 2009 nevim jak to tam chodi ted ale predtim jsem mely na jidlo kureci kapsu bohuzel nedopecena , polivka studena nudle nebyly domaci ale kupovane o servirkach to nevim protoze jsem nevdela kdo je kdo jidlo nosily i recepcni takze tak","243","neutral","jidlo","248","food","negative"
"","","156","negative","nudle","161","service","negative"
"","","106","negative","kureci kapsu","118","",""
"","","100","negative","jidlo","105","",""
"","","140","negative","polivka","147","",""
"","","191","neutral","servirkach","201","",""
"","","258","neutral","recepcni","266","",""
"434","byla jsem v tehle restauraci s kamaradkou nejsme s ostravy ale co se tyce jidla za ty pozadovane penize to nestoji , mely to spatne dochucene","18","neutral","restauraci","28","food","negative"
"","","74","negative","jidla","79","price","negative"
"","","97","negative","penize","103","anecdotes/miscellaneous","neutral"
"430","byl jsem tam s manzelkou na obede pred 3 mesici jidlo studene , slane oblohy vice nez masa","86","neutral","masa","90","food","negative"
"","","70","neutral","oblohy","76","",""
"","","48","negative","jidlo","53","",""
"439","Děkujeme za sobotni naši vydařenou akci,dobré jidla a fajn domáci personal stím jsem se ještě nesetkal,aby byli tak příjemní.","46","positive","jidla","51","food","positive"
"","","66","positive","personal","74","service","positive"
"437","Děkujeme personálu hotelu za dobré jídlo a ochotu.","9","positive","personálu","18","food","positive"
"","","35","positive","jídlo","40","service","positive"
"438","Děkujeme za dobré jídlo na sobotní akci a výborny personal","50","positive","personal","58","food","positive"
"","","18","positive","jídlo","23","service","positive"
"830","Porce osekaný, ceny napálený a ještě parta dutejch pinglů, který jsou tam úplně k hovnu!!! Výběr=0","0","negative","Porce","5","food","negative"
"","","51","negative","pinglů","57","service","negative"
"","","15","negative","ceny","19","price","negative"
"127","K jídlu: tatarák jsme měly poprvé, nemáme s čím srovnat, ale osobně mně chutnal","2","positive","jídlu","7","food","positive"
"","","9","positive","tatarák","16","",""
"10869","Pivo žádná kvalita a jěště nás chtěli okrást.","0","negative","Pivo","4","food","negative"
"","","","","","","price","negative"
"10868","Zdánlivá maličkost, ale pokazilo to dojem z jinak pěkně naaranžovaného salátu.","71","positive","salátu","77","food","positive"
"10867","Jídlo bylo sice dobré, ale neskutečně předražené a velikost porce přímo směšná.","0","positive","Jídlo","5","price","negative"
"","","60","negative","porce","65","",""
"122","Jidlo bylo otresne","0","negative","Jidlo","5","food","negative"
"10866","Smrdělo to, nebylo to teplé.","","","","","food","negative"
"123","Jídlo Vám pouze ohřejí a v mém případě ani to snad ne, jelikož bylo studené","0","negative","Jídlo","5","food","negative"
"10865","Vynikající zahrádka,velký výběr piv.","32","positive","piv","35","food","positive"
"","","11","positive","zahrádka","19","ambience","positive"
"124","Jinak co se týče oháňky,tak ta byla ok","17","positive","oháňky","23","food","positive"
"10864","Jídlo mi moc chutnalo akorát bych dával pití do 0,5L jináč super.","0","positive","Jídlo","5","food","positive"
"838","Prostě nás nezklamali a přijedeme zase","","","","","anecdotes/miscellaneous","positive"
"10863","Dobré jidlo doporučuju","6","positive","jidlo","11","food","positive"
"837","Proberte se Štepáne!!!","","","","","anecdotes/miscellaneous","negative"
"10862","Tak krásné prostory by si zasloužily opravdové odborníky.","11","positive","prostory","19","service","negative"
"","","","","","","ambience","positive"
"10861","Nevím jak dnes, ale pár měsíců zpátky to bylo celkem normální jídlo za vyšší cenu ale rozhodně to nebyla taková katastrofa (třeba bylo štěstí na naší straně).","62","neutral","jídlo","67","food","neutral"
"","","77","negative","cenu","81","price","negative"
"10860","Jako hlavní chod jsem zvolil líčka- lahoda-maso se rozpadá na talíři, bramborová kaše je tak úžasně jemná a smetanová, škoda, že ji bylo na můj vkus málo, opravdu žádné hrudky, to je pouhý výmysl.","29","positive","líčka","34","food","positive"
"","","70","positive","bramborová kaše","85","",""
"","","43","positive","maso","47","",""
"","","5","positive","hlavní chod","16","",""
"129","Kdykoliv přijedem je tady plno a neslyšela jsem že by lidi nadávali","","","","","anecdotes/miscellaneous","positive"
"835","Pratele varuji vas, opravdu neverte tem kecum z televize a nejezdete podporovat zlodeje a podvodniky, kteri bohatnou jen na vasich chybach a najivnosti","","","","","anecdotes/miscellaneous","negative"
"444","Dnes jsem navštívil restauraci-DOPORUČUJI","20","positive","restauraci","30","anecdotes/miscellaneous","positive"
"445","Dnes jsem navštívila tuto restauraci s přítelem po předchozím doporučení od známé a musím říct, že jsem byla opravdu mile překvapena","26","positive","restauraci","36","anecdotes/miscellaneous","positive"
"446","Do téhle restaurace chodím velmi rád,vždy výborna obsluha rychlá a milá,kuchaři super vaří,velmi dobré ceny a příjemné prostředí bez cigaretového smradu a není zde špína jako v některých jiných restauracích,číšnik vždy upraven ,jsem rád za takový pestrý výběr jídel VELMI DOPORUČUJI VŠEM,BUDETE SPOKOJENI","9","positive","restaurace","19","food","positive"
"","","72","positive","kuchaři","79","service","positive"
"","","103","positive","ceny","107","ambience","positive"
"","","50","positive","obsluha","57","price","positive"
"","","119","positive","prostředí","128","anecdotes/miscellaneous","positive"
"","","260","positive","jídel","265","",""
"440","Děkujeme za výborné jídlo a obsluhu na páteční akci, velká naše spokojenost a velmi nás překvapila přívětivá obsluha s tím jsme se jinde nesetkali další akci máme již v unoru.","109","positive","obsluha","116","food","positive"
"","","20","positive","jídlo","25","service","positive"
"","","28","positive","obsluhu","35","",""
"441","DĚKUJEME!!!Dobré jídlo i pití,,akce byla v salonku v restauraci moc lidí nebylo,ale to nic nemění na tom ,že tam dobře vaři personál je příjemný","124","positive","personál","132","food","positive"
"","","25","positive","pití","29","service","positive"
"","","53","neutral","restauraci","63","ambience","neutral"
"","","17","positive","jídlo","22","anecdotes/miscellaneous","neutral"
"","","43","neutral","salonku","50","",""
"","","119","positive","vaři","123","",""
"120","Ještě než jsme usedli ke stolu,už z dálky nás velice udivil odporně špinavý ubrus,který snad nebyl měněn 14 dní, Když jsem požádala obsluhu,aby ho vyměnil nebo že u takového stolu nepozřu sousto,bylo mi odpovězeno,že čisté nemají","76","negative","ubrus","81","service","negative"
"","","132","negative","obsluhu","139","ambience","negative"
"448","Dobre jsem se najedl a napil,muzu jen doporucit,zadny problem","14","positive","najedl","20","food","positive"
"","","23","positive","napil","28","anecdotes/miscellaneous","positive"
"449","dobry den tak tuhle restauraci bych vubec nedoporucil strasna obsluha pivo teple a pozor na vraceni penez radeji si vse spocitejte a jidlo to bych dal radejc prasatum no proste nula k nule","62","negative","obsluha","69","food","negative"
"","","70","negative","pivo","74","service","negative"
"","","133","negative","jidlo","138","price","negative"
"","","20","negative","restauraci","30","anecdotes/miscellaneous","negative"
"","","100","negative","penez","105","",""
"10833","Servírky rychlí a v pohodě rádi vám vše vysvětlí jen doporučuji o proti jiných restaurací","79","neutral","restaurací","89","service","positive"
"","","0","positive","Servírky","8","anecdotes/miscellaneous","positive"
"134","Koupil jsem slevovy kupon a vysledkem bylo velke zklamani","20","negative","kupon","25","anecdotes/miscellaneous","negative"
"10832","Při stížnosti na jídlo nás servírka ujistila, že je naprosto v pořádku, ačkoli nebylo poživatelné!","27","negative","servírka","35","food","negative"
"","","17","negative","jídlo","22","service","negative"
"10835","Styďte se! Děláte nám ostudu!!!","","","","","anecdotes/miscellaneous","negative"
"132","Koleno bylo teda už úplně extrémě nepoživatelné,(nic horšího jsem ještě nejedl),připadlo mi,že je uvařené už tak min. dva dny a potom jen ohřáté","0","negative","Koleno","6","food","negative"
"10834","Nejlepší, nejkrásnější, nejdokonalejší restaurace.","39","positive","restaurace","49","anecdotes/miscellaneous","positive"
